,Player,Player Name,Team,Age,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,ORB_PCT,DREB,DRB_PCT,AST,AST_PCT,STL,STL_PCT,BLK,BLK_PCT,TOV,TOV_PCT,PF,PTS
75,Pascal Siakam,P. Siakam,IND,30,41,41,31.804878048780488,12.885245308286734,23.454042021825288,0.5493827160493828,1.4115858624246702,3.6556454385869666,0.38613861386138615,4.379535624445772,6.2616501076786655,0.6994219653179191,3.076533289899922,0.07241395308909628,8.469515175,0.19956903573390555,5.501565413,0.21803993575434716,1.122029788081148,0.01667179194057708,0.542917639,0.013560553765336526,2.0992815389905353,0.07415741829898226,3.836617985051668,31.561612103443913
76,Bennedict Mathurin,B. Mathurin,IND,22,59,19,26.06779661016949,9.083551024009267,20.345926786885624,0.44645550527903466,2.455013790272776,6.567161888979673,0.3738317757009348,5.646531717627383,6.874038612763771,0.8214285714285714,1.8412603427045815,0.04333869570634815,5.339654993843285,0.12581945675220282,3.651833013030753,0.14901823281907434,1.074068533244339,0.019471495072734605,0.4296274132977357,0.013092568918328,2.9767042207057397,0.11297987327618339,3.5904576682739333,26.26864755591869
77,Buddy Hield,B. Hield,IND,31,52,28,25.692307692307693,8.090014661,18.264356243265677,0.4429400386878076,4.839877766590711,12.611944253086747,0.38375350140056014,0.9891720982813134,1.165809972974405,0.8484848484848486,1.2011375479130235,0.02827179485873699,4.698567466836239,0.11071337134562811,4.9105329164679485,0.2484272233342866,1.5190857223605885,0.027941569488584166,1.0951548230971686,0.03386176672176026,2.190309646194337,0.10446151772476078,3.6387402186776887,22.009079186759223
78,Buddy Hield,B. Hield,PHI,31,32,14,25.75,8.483943241224795,19.895444361463777,0.4264264264264265,4.899178491,12.606422703510084,0.38862559238441935,1.4339058999253174,1.5533980582524272,0.923076923076923,1.6131441374159818,0.036292202389187476,4.480955937266617,0.10444524924839754,5.795369678864824,0.27061711862143517,1.6131441374159818,0.03099800582945712,0.6572068707991039,0.0232761753497814,2.449589246,0.10637193857513783,3.9432412247946234,23.300970873786405
79,Bruce Brown,B. Brown,IND,27,33,33,29.727272727272727,7.168652780408891,15.107093778848268,0.4745222929936305,1.5876881996878751,4.859288126317435,0.3267326732673268,3.223488163002655,3.945164617406235,0.8170731707317072,1.2027940906726324,0.02831078576128247,6.206417507870783,0.14624317116331295,4.811176363,0.2731643356819064,1.6839117269416854,0.026769230266428228,0.3848941090152423,0.010285452535898937,1.9725823087031176,0.10483788483174797,3.897052853779329,19.148481923508307
80,James Harden,J. Harden,LAC,34,72,72,34.30555555555556,7.037536862098266,16.434248013195376,0.42822384428223864,3.718698455540561,9.756585195181684,0.3811475409836067,6.0378867396411255,6.877592842505122,0.8779069767441863,0.6797620832708551,0.01652941427798177,6.697655820462837,0.15208456393470157,12.27570350377368,0.5460884414244551,1.539461188583995,0.02218863596853411,1.1396011396011394,0.029841951382465443,3.698705453091418,0.15970855347215035,2.539111311041135,23.83165891937822
81,Paul George,P. George,LAC,34,74,74,33.810810810810814,11.487106611007489,24.395298575954044,0.47087378640776706,4.796163069544364,11.605530390502413,0.41326530612244894,5.210646297776592,5.743553305503744,0.9072164948453607,0.7302799735520225,0.017757831039459653,6.9277911,0.1573102764186825,5.171171704611618,0.17702224264209077,2.230314513821041,0.03261646142921988,0.7302799735520225,0.01940316630287758,3.0198063771205255,0.1008542952064547,3.986933909662393,32.981022589335936
82,Norman Powell,N. Powell,LAC,31,76,3,26.18421052631579,9.256157329859173,19.058254234133628,0.4856770833333334,4.144177678516035,9.529127117066814,0.43489583333333326,3.5486072336993604,4.268254854519511,0.8313953488372092,0.3970469632111172,0.00965478055373691,4.441962900924374,0.10086424398477403,2.0348656864569756,0.09175543818816578,1.0670637136298775,0.02015009903812374,0.5459395744152863,0.018730263761410043,1.637818723245859,0.07255298566528892,3.3997146224951917,26.205099571933744
83,Kawhi Leonard,K. Leonard,LAC,33,68,68,34.26470588235294,12.928522227520796,24.62777512849044,0.5249569707401032,2.9672018227096904,7.121284374503259,0.4166666666666666,5.362157579611084,6.061569437821225,0.8846153846153847,1.7803210936258147,0.04329112439277528,7.036507179568695,0.15977890693615102,5.171408891008319,0.18445163436243234,2.352567159434112,0.033948558589831104,1.2504636252847985,0.032784069007487315,2.5221215493032374,0.08458673338830285,2.055846977163143,34.186403857362365
84,Amir Coffey,A. Coffey,LAC,27,70,13,20.87142857142857,5.610904082270726,11.89782070457407,0.47159090909090906,2.366043890114162,6.219315368300083,0.3804347826086956,2.0618382470994834,2.3998445171157923,0.8591549295774648,0.9802181830472956,0.023835446002573465,4.0222746131940745,0.09133432606439433,2.5688476521239463,0.1962607168680921,1.385825707066866,0.03283089747349901,0.4732087780228324,0.020367579339839282,1.115420691053819,0.0792811839323467,3.447663954,15.649690301755104
