,Player 1,Player 2,Team,Position,MP,PTS,FG,FGA,FG%,3P,3PA,eFG%,FT,FTA,FT%,DRB,DRB%,ORB,ORB%,TRB,TRB%,AST,STL,BLK,TOV,PF,ORTG2,DRTG2,Dist._diff,0-3_x_diff,3-10_x_diff,10-16_x_diff,16-3P_x_diff,3P_x_diff,USG%_diff,Assists,APM,PIE,Compatibility Score,Rank
315,B. Adebayo,T. Herro,MIA,GC,1040:14:00,49.437602175,40.9436862,22.448457075,55.278027419315734,56.82198198533837,67.14672298136276,60.10784556391088,40.005309975,53.24225034799227,37.716192275,45.03111365,37.785003374999995,34.144206374999996,37.785003374999995,37.16301495,38.411152625,62.1277956826526,49.948408449999995,50.151476024999994,49.21019705,28.82418875,23.671673625,68.70437978027594,47.752809,19.8254364,49.853372424999996,34.46153845,12.608695650000001,57.54189944134078,11.935278599999998,39.453125,52.67733753302492,50.48370445,-0.225083154,172.0
316,H. Highsmith,J. Jaquez,MIA,GF,653:22:00,51.439025949999994,50.550060875,43.7551124,51.75465615,43.788353825,31.210585899999998,51.611844549999994,39.0354672,45.189210475,49.540624275,56.26807477350868,62.3950096848864,57.73877414849522,62.3950096848864,63.43387297269105,64.4879426091013,39.722102575,32.322843375,57.226883247362096,74.09548021616546,57.150328662168214,32.4173278,63.87249322849027,32.0224719,11.845386525000002,46.33431085,12.923076924999998,0.4347825999999999,41.061452525,8.196042799999997,8.984375,19.329065800000002,57.36958264485587,-0.407508502,307.0
317,B. Lopez,K. Middleton,MIL,FC,1147:03:00,53.18731165453306,63.56784157739881,28.798300975000004,70.16034183246565,39.387268725,54.4711362025232,68.3890133,27.8447997,37.5939282,39.315154299999996,67.27827289684389,44.58293785,29.844666175,44.58293785,59.92842924411731,59.80400023053674,69.98266668760905,24.531193075,74.75749044013014,83.727718275,56.52228087708187,38.300079275,48.67913605,0.5617977499999982,18.329177050000002,10.850439875000001,33.84615385,65.65217391304347,21.089385475,41.78532775,26.171875,30.576755350000003,55.291100975,-0.347394361,261.0
318,B. Lopez,B. Portis,MIL,FC,698:03:00,41.882907025,37.252040425,50.509527975000005,38.104453625,59.15846085338307,42.372892525,41.044040625,41.677862,32.638662575,95.33859022069151,54.35305075035702,66.42003635175897,60.48019330446566,66.42003635175897,58.144526799999994,59.004644485672685,33.8815598,26.209470675000002,40.261420199999996,48.102515525,56.52228087708187,38.105435875,59.24342360475991,20.786516849999998,4.114713224999999,28.152492674999998,37.230769224999996,35.652173925,37.290502800000006,47.796251725,4.6875,8.879628625000002,45.69446715,-0.424884365,324.0
319,M. Beasley,J. Crowder,MIL,GF,734:37:00,42.662521149999996,37.252040425,52.0603299,36.796050025,66.762765525,43.30352665,42.259372725,40.3604275,42.05366725,61.309540250128435,22.470836124999998,21.46130415,38.597673924999995,21.46130415,18.898673300000002,19.836212975000002,37.642091775,56.418467646326064,37.125413800000004,31.138133275,56.52228087708187,34.018876975,36.208448625,11.7977528,3.8653366500000006,14.076246325000003,5.846153850000002,16.521739125,18.9944134,0.8159923000000013,6.25,11.270268325,0.0,-0.909326225,585.0
320,G. Antetokounmpo,K. Middleton,MIL,FF,1042:23:00,82.42284086231193,84.94943001624087,45.8571222,81.93597423240193,50.033295249999995,60.05494097297006,80.54233449370206,38.38427575,52.459725074999994,28.940443925000004,78.48013209046583,77.98085320593756,53.915437492529314,77.98085320593756,79.55135599866495,80.5872495970023,95.55428406470345,58.09674525581494,52.8054457351694,53.1918302,46.710673549999996,46.7295325,56.00173335954184,56.17977528089886,52.11970075,26.97947215,36.615384625000004,42.60869565,40.9217877,6.188105175000002,67.1875,91.02836606318839,70.4792132079923,0.3113959836377544,7.0
321,D. Lillard,B. Lopez,MIL,GC,1951:20:00,66.44075156205949,49.587572224999995,26.472098075,59.038911232525805,63.72104365089209,48.887331425,63.527684823744735,62.09809683811307,61.37920318679865,65.45942439288002,66.41659142041144,48.436543475,36.409422,48.436543475,59.92842924411731,59.80400023053674,48.923687675,39.635691550000004,52.8054457351694,51.495391975000004,31.012101825,46.071036475,42.185752825,3.3707865250000024,6.733167075000002,7.331378300000003,0.3076923000000009,32.608695649999994,6.703910624999998,32.480565675,46.875,31.304799875,62.524831300068215,-0.486902308,379.0
322,M. Beasley,D. Lillard,MIL,GG,1807:59:00,73.06747151582269,66.03494793572673,43.5309193,65.58092923249042,71.32534831340716,58.19367271615443,70.2120114797994,44.971448275,47.008932875,57.98963293592716,59.52313960895176,45.86747305,38.597673924999995,45.86747305,54.57672194742249,55.80722150621644,53.43632603184207,53.061912425,55.94145212159236,39.6203244,50.635316475,42.30379445,33.403791275,19.66292135,15.087281800000001,13.7829912,11.692307699999999,25.217391300000003,36.871508375,36.12201815,38.28125,27.300872074999997,37.86876955,-0.408237334,308.0
323,G. Antetokounmpo,D. Lillard,MIL,GF,1755:49:00,74.62669974023757,63.56784157739881,27.247499050000002,72.122947225,57.63759992088006,59.12430684456225,73.85800784999999,56.16964156593296,63.361309425,44.710003674999996,70.72499880257371,57.428289909620055,40.785925875000004,57.428289909620055,67.06403897304372,68.59691342404139,62.46160275316951,56.418467646326064,49.66943935,53.1918302,36.899066225,53.039580175,51.390674825000005,58.98876404494382,40.523690775,30.498533724999998,3.076923074999999,9.565217399999998,55.3072625698324,15.492867249999998,76.171875,59.45873162352964,67.13782472904599,0.042925334,45.0
324,P. Connaughton,B. Portis,MIL,FF,1283:38:00,31.747923575,40.541515575,66.01754725848856,34.179242825,28.7412422,20.03767345,30.10605155,33.114537725000005,38.08945475,50.9348299,31.087650875,45.86747305,56.10368942984143,45.86747305,31.385990325,32.6259049,46.6673685,78.23607656968153,27.71739465,14.173751000000001,72.22085259696227,37.0431238,51.666423475,29.775280900000002,1.2468827999999987,33.43108505,60.00000000000001,42.60869565,58.37988826815642,51.600869149999994,17.96875,17.564665325,67.9171331,-0.48221238,375.0
