Player,Team,Age,G,MP,FG%,Dist.,2P_x,0-3_x,3-10_x,10-16_x,16-3P_x,3P_x,2P_y,0-3_y,3-10_y,10-16_y,16-3P_y,3P_y,2P_z,3P_z,%FGA,#_x,%3PA,3P%,Att.,#_y
S. Sharpe,POR,20,32,1059,0.406,14.9,0.585,0.235,0.168,0.099,0.083,0.415,0.457,0.569,0.37,0.372,0.417,0.333,0.466,0.717,0.071,26,0.156,0.393,3,0
D. Sabonis,SAC,27,82,2928,0.594,6.2,0.919,0.455,0.361,0.07,0.032,0.081,0.613,0.722,0.516,0.467,0.471,0.379,0.607,0.909,0.113,111,0.057,0.2,0,0
D. Fox,SAC,26,74,2659,0.465,15,0.626,0.134,0.248,0.172,0.072,0.374,0.522,0.72,0.534,0.423,0.351,0.369,0.198,0.626,0.017,24,0.134,0.436,1,0
K. Murray,SAC,23,77,2588,0.454,17.3,0.476,0.139,0.149,0.112,0.076,0.524,0.56,0.728,0.559,0.477,0.378,0.358,0.746,0.978,0.084,72,0.252,0.326,1,0
H. Barnes,SAC,31,82,2381,0.474,15.9,0.474,0.182,0.223,0.052,0.018,0.526,0.571,0.684,0.515,0.421,0.538,0.387,0.631,0.966,0.034,21,0.421,0.42,0,0
M. Monk,SAC,25,72,1872,0.443,16.2,0.526,0.169,0.189,0.108,0.06,0.474,0.528,0.656,0.456,0.5,0.444,0.35,0.464,0.784,0.049,41,0.132,0.429,0,0
K. Huerter,SAC,25,64,1562,0.443,18.2,0.391,0.146,0.152,0.075,0.018,0.609,0.571,0.732,0.553,0.381,0.2,0.361,0.808,0.951,0.02,9,0.173,0.424,0,0
T. Lyles,SAC,28,58,1158,0.445,18.8,0.318,0.178,0.1,0.022,0.019,0.682,0.578,0.754,0.375,0.571,0,0.384,0.729,1,0.025,6,0.384,0.369,3,0
Davion Mitchell,SAC,25,72,1101,0.452,16.2,0.511,0.155,0.192,0.09,0.074,0.489,0.539,0.76,0.5,0.31,0.458,0.361,0.472,0.965,0,0,0.291,0.457,0,0
K. Ellis,SAC,24,57,978,0.461,20.5,0.276,0.103,0.095,0.034,0.043,0.724,0.578,0.667,0.591,0.625,0.3,0.417,0.649,0.943,0.03,7,0.298,0.36,1,0
D. Vassell,SAS,23,68,2248,0.472,16.4,0.578,0.163,0.126,0.159,0.13,0.422,0.544,0.715,0.511,0.548,0.358,0.372,0.602,0.837,0.05,49,0.188,0.512,2,0
J. Sochan,SAS,20,74,2193,0.438,11,0.707,0.332,0.256,0.084,0.035,0.293,0.492,0.659,0.362,0.292,0.333,0.308,0.596,0.986,0.098,68,0.317,0.319,4,0
Tre Jones,SAS,24,77,2138,0.505,11.5,0.682,0.328,0.242,0.1,0.012,0.318,0.584,0.726,0.497,0.367,0.286,0.335,0.406,0.906,0.003,1,0.403,0.377,2,0
V. Wembanyama,SAS,20,71,2106,0.465,13,0.668,0.293,0.204,0.089,0.082,0.332,0.534,0.706,0.463,0.321,0.33,0.325,0.728,0.797,0.158,165,0.056,0.545,1,0
K. Johnson,SAS,24,69,2038,0.454,13.4,0.574,0.261,0.256,0.038,0.019,0.426,0.533,0.636,0.439,0.485,0.5,0.346,0.492,0.906,0.038,28,0.3,0.327,1,0
M. Branham,SAS,20,75,1594,0.432,15.1,0.573,0.186,0.189,0.134,0.064,0.427,0.494,0.744,0.328,0.5,0.25,0.347,0.657,0.968,0.019,12,0.272,0.384,0,0
Z. Collins,SAS,26,69,1526,0.484,11.5,0.706,0.266,0.313,0.088,0.039,0.294,0.552,0.726,0.472,0.463,0.208,0.32,0.713,1,0.042,25,0.099,0.333,0,0
J. Champagnie,SAS,22,74,1468,0.408,18.4,0.311,0.194,0.09,0.012,0.015,0.689,0.504,0.641,0.306,0,0.333,0.365,0.857,0.98,0.067,19,0.329,0.363,0,0
C. Osman,SAS,28,72,1269,0.479,16.7,0.424,0.221,0.151,0.034,0.018,0.576,0.601,0.776,0.448,0.154,0.571,0.389,0.724,0.965,0.005,2,0.235,0.462,0,0
S. Barnes,TOR,22,60,2094,0.475,12.4,0.686,0.271,0.268,0.079,0.069,0.314,0.536,0.733,0.429,0.297,0.446,0.341,0.462,0.911,0.084,73,0.149,0.364,1,0
G. Trent,TOR,25,71,1994,0.426,18.4,0.465,0.113,0.12,0.1,0.131,0.535,0.464,0.667,0.441,0.365,0.387,0.393,0.574,0.904,0.012,8,0.163,0.378,0,0
D. Schroder,TOR,30,51,1559,0.442,15.3,0.606,0.19,0.163,0.157,0.097,0.394,0.501,0.613,0.407,0.466,0.5,0.35,0.394,0.922,0,0,0.209,0.348,4,0
P. Siakam,TOR,29,39,1354,0.522,10.7,0.767,0.284,0.307,0.125,0.051,0.233,0.584,0.768,0.503,0.474,0.313,0.317,0.53,0.978,0.037,22,0.276,0.475,0,0
J. Poeltl,TOR,28,50,1319,0.656,3.9,1,0.545,0.349,0.106,0,0,0.656,0.786,0.5,0.5,,,0.798,,0.074,26,,,0,0
G. Dick,TOR,20,60,1268,0.425,17.2,0.458,0.18,0.13,0.072,0.076,0.542,0.495,0.638,0.431,0.344,0.412,0.365,0.842,0.977,0.034,13,0.378,0.462,3,0
I. Quickley,TOR,24,38,1265,0.422,16.7,0.515,0.122,0.236,0.109,0.048,0.485,0.448,0.721,0.371,0.377,0.296,0.395,0.38,0.636,0.007,4,0.137,0.297,0,0
R. Barrett,TOR,23,32,1072,0.553,8.7,0.756,0.431,0.293,0.028,0.004,0.244,0.605,0.731,0.451,0.286,0.5,0.392,0.622,0.979,0.063,29,0.325,0.436,0,0
O. Anunoby,TOR,26,27,900,0.489,15.2,0.492,0.265,0.131,0.056,0.04,0.508,0.608,0.753,0.405,0.389,0.615,0.374,0.729,0.951,0.128,36,0.405,0.439,0,0
K. Olynyk,TOR,32,28,740,0.548,11.1,0.703,0.397,0.184,0.071,0.05,0.297,0.637,0.747,0.477,0.529,0.5,0.338,0.598,0.958,0.017,4,0.169,0.583,0,0
C. Sexton,UTA,25,78,2075,0.487,12.3,0.687,0.203,0.346,0.098,0.039,0.313,0.53,0.744,0.451,0.402,0.439,0.394,0.418,0.805,0.027,23,0.212,0.435,2,0
K. George,UTA,20,75,2023,0.391,17.9,0.46,0.075,0.228,0.104,0.053,0.54,0.459,0.689,0.425,0.447,0.302,0.334,0.366,0.701,0.015,12,0.127,0.357,3,0
J. Collins,UTA,26,68,1901,0.532,11,0.689,0.303,0.304,0.043,0.039,0.311,0.605,0.783,0.493,0.438,0.276,0.371,0.73,0.988,0.15,106,0.431,0.37,0,0
L. Markkanen,UTA,26,55,1820,0.48,15.7,0.507,0.175,0.24,0.061,0.03,0.493,0.559,0.724,0.5,0.389,0.407,0.399,0.742,0.983,0.098,77,0.178,0.436,1,0
J. Clarkson,UTA,31,55,1682,0.413,14.9,0.621,0.113,0.339,0.125,0.044,0.379,0.485,0.598,0.473,0.412,0.5,0.294,0.37,0.703,0.017,13,0.133,0.415,8,0
W. Kessler,UTA,22,64,1493,0.654,3.4,0.946,0.68,0.257,0.003,0.006,0.054,0.68,0.752,0.511,0,0,0.211,0.742,1,0.363,124,1,0.211,0,0
K. Dunn,UTA,29,66,1249,0.47,12.6,0.645,0.163,0.419,0.058,0.006,0.355,0.525,0.686,0.481,0.389,0.5,0.369,0.274,0.951,0.054,17,0.351,0.41,1,0
S. Fontecchio,UTA,28,50,1160,0.45,17.7,0.349,0.165,0.156,0.022,0.006,0.651,0.56,0.61,0.518,0.375,1,0.391,0.7,0.989,0.053,15,0.451,0.39,0,0
K. Olynyk,UTA,32,50,1019,0.562,12.1,0.674,0.295,0.264,0.058,0.058,0.326,0.626,0.776,0.588,0.267,0.4,0.429,0.477,0.972,0.016,4,0.202,0.353,0,0
J. Poole,WAS,24,78,2346,0.413,17.1,0.524,0.156,0.18,0.116,0.073,0.476,0.492,0.714,0.394,0.387,0.425,0.326,0.408,0.668,0.008,9,0.108,0.344,4,0
K. Kuzma,WAS,28,70,2281,0.463,13.7,0.657,0.206,0.272,0.117,0.062,0.343,0.53,0.789,0.451,0.357,0.341,0.336,0.538,0.788,0.046,57,0.222,0.41,1,0
