Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Year/Year,,-0.30%,11.90%,3.50%,0.038,-2.70%,-4.60%,0.007,18.90%,9.10%,0.049,-14.10%,-13.30%,-0.007,-0.60%,0.10%,-0.10%,14.00%,0.00%,0.60%,-13.60%,0.90%,6.00%
Opponent,82,19705,3653,7361,0.496,877,2404,0.365,2776,4957,0.56,1677,2130,0.787,901,2654,3555,2020,543,440,1142,1501,9860
Opponent/G,,240.3,44.5,89.8,0.496,10.7,29.3,0.365,33.9,60.5,0.56,20.5,26,0.787,11,32.4,43.4,24.6,6.6,5.4,13.9,18.3,120.2
Lg Rank,,26,25,19,30,1,1,16,30,30,24,30,30,17,24,11,15,4,4,21,11,20,27
Year/Year,,-0.30%,2.90%,0.50%,0.012,-13.90%,-12.00%,-0.008,9.70%,8.00%,0.009,-0.10%,1.40%,-0.012,-9.30%,-2.50%,-4.30%,-6.60%,-16.50%,0.50%,-7.50%,-9.60%,0.70%
LAC,82,19705,3473,7108,0.489,1036,2719,0.381,2437,4389,0.555,1499,1817,0.825,822,2701,3523,2097,640,413,1078,1519,9481
Team/G,,240.3,42.4,86.7,0.489,12.6,33.2,0.381,29.7,53.5,0.555,18.3,22.2,0.825,10,32.9,43,25.6,7.8,5,13.1,18.5,115.6
Lg Rank,,26,14,26,6,16,21,6,11,17,11,8,12,3,21,17,19,21,7,15,13,14,12
Year/Year,,-0.60%,3.10%,0.70%,0.011,-0.50%,-0.60%,0,4.60%,1.50%,0.017,-2.20%,-7.40%,0.044,2.40%,-1.50%,-0.60%,7.00%,10.30%,13.50%,-7.60%,-4.90%,1.80%
Opponent,82,19705,3413,7288,0.468,1054,2902,0.363,2359,4386,0.538,1332,1718,0.775,909,2551,3460,2165,597,384,1069,1537,9212
Opponent/G,,240.3,41.6,88.9,0.468,12.9,35.4,0.363,28.8,53.5,0.538,16.2,21,0.775,11.1,31.1,42.2,26.4,7.3,4.7,13,18.7,112.3
Lg Rank,,26,15,16,12,14,15,14,15,14,8,9,10,8,27,4,5,12,14,9,22,15,10
Year/Year,,-0.60%,-0.50%,0.60%,-0.005,5.40%,6.00%,-0.002,-2.90%,-2.60%,-0.002,-5.70%,-6.20%,0.004,8.50%,-5.50%,-2.20%,5.70%,-6.70%,12.00%,0.40%,-4.40%,-0.70%
LAL,82,19855,3580,7177,0.499,969,2572,0.377,2611,4605,0.567,1550,1983,0.782,676,2859,3535,2340,605,453,1146,1283,9679
Team/G,,242.1,43.7,87.5,0.499,11.8,31.4,0.377,31.8,56.2,0.567,18.9,24.2,0.782,8.2,34.9,43.1,28.5,7.4,5.5,14,15.6,118
Lg Rank,,3,6,22,2,24,28,8,3,7,6,2,2,15,30,2,18,5,19,11,19,1,6
Year/Year,,-0.10%,1.80%,-1.70%,0.017,9.50%,0.50%,0.031,-0.80%,-2.80%,0.012,-8.30%,-9.10%,0.007,-17.40%,-2.40%,-5.70%,12.90%,15.00%,19.80%,-0.70%,-12.50%,0.70%
Opponent,82,19855,3643,7687,0.474,1170,3109,0.376,2473,4578,0.54,1174,1476,0.795,893,2719,3612,2316,673,390,1100,1619,9630
Opponent/G,,242.1,44.4,93.7,0.474,14.3,37.9,0.376,30.2,55.8,0.54,14.3,18,0.795,10.9,33.2,44,28.2,8.2,4.8,13.4,19.7,117.4
Lg Rank,,3,24,30,17,28,28,25,22,24,12,2,2,25,19,14,19,26,25,11,19,4,23
Year/Year,,-0.10%,1.00%,-0.10%,0.005,13.80%,3.90%,0.033,-4.10%,-2.70%,-0.008,-11.00%,-13.50%,0.022,-1.70%,-1.80%,-1.80%,10.10%,7.90%,-6.20%,6.30%,-8.00%,0.70%
MEM,82,19780,3145,7230,0.435,1071,3097,0.346,2074,4133,0.502,1316,1722,0.764,896,2598,3494,2025,673,501,1236,1563,8677
Team/G,,241.2,38.4,88.2,0.435,13.1,37.8,0.346,25.3,50.4,0.502,16,21,0.764,10.9,31.7,42.6,24.7,8.2,6.1,15.1,19.1,105.8
Lg Rank,,17,30,21,30,12,6,29,30,27,29,22,19,23,10,27,24,27,4,4,26,20,30
Year/Year,,0.00%,-12.30%,-4.30%,-0.04,8.70%,10.30%,-0.005,-20.20%,-12.90%,-0.046,-8.10%,-11.90%,0.031,-9.30%,-8.40%,-8.60%,-5.20%,-1.00%,5.90%,10.80%,-4.90%,-9.50%
Opponent,82,19780,3381,7128,0.474,1098,2905,0.378,2283,4223,0.541,1391,1785,0.779,874,2867,3741,2179,668,536,1239,1539,9251
Opponent/G,,241.2,41.2,86.9,0.474,13.4,35.4,0.378,27.8,51.5,0.541,17,21.8,0.779,10.7,35,45.6,26.6,8.1,6.5,15.1,18.8,112.8
Lg Rank,,17,12,8,19,22,17,27,7,5,14,15,16,11,16,29,29,15,24,30,2,13,12
Year/Year,,0.00%,1.20%,-3.20%,0.021,3.10%,-3.10%,0.023,0.40%,-3.30%,0.02,-8.40%,-7.60%,-0.007,-3.10%,4.70%,2.80%,0.60%,19.50%,25.50%,-0.10%,-6.40%,-0.10%
MIA,82,19755,3266,7022,0.465,1022,2765,0.37,2244,4257,0.527,1478,1806,0.818,766,2702,3468,2116,617,280,1038,1415,9032
Team/G,,240.9,39.8,85.6,0.465,12.5,33.7,0.37,27.4,51.9,0.527,18,22,0.818,9.3,33,42.3,25.8,7.5,3.4,12.7,17.3,110.1
Lg Rank,,21,28,28,22,19,18,12,29,24,26,10,13,5,26,16,26,18,15,30,6,4,26
Year/Year,,-0.30%,1.60%,0.40%,0.005,4.30%,-3.10%,0.026,0.40%,2.90%,-0.013,-5.70%,-4.20%,-0.013,-3.80%,6.70%,4.20%,8.20%,-5.80%,15.20%,-6.10%,-6.70%,0.60%
Opponent,82,19755,3297,7056,0.467,1064,3018,0.353,2233,4038,0.553,1230,1577,0.78,757,2750,3507,2173,543,388,1126,1550,8888
Opponent/G,,240.9,40.2,86,0.467,13,36.8,0.353,27.2,49.2,0.553,15,19.2,0.78,9.2,33.5,42.8,26.5,6.6,4.7,13.7,18.9,108.4
Lg Rank,,21,3,3,10,16,24,5,4,3,20,3,3,12,3,20,11,14,4,10,16,11,3
Year/Year,,-0.30%,0.30%,3.40%,-0.015,-1.20%,2.90%,-0.015,1.00%,3.80%,-0.016,-8.90%,-8.70%,-0.001,3.80%,1.80%,2.20%,3.60%,-4.90%,25.60%,-12.60%,-5.70%,-1.30%
MIL,82,19805,3538,7258,0.487,1163,3122,0.373,2375,4136,0.574,1517,1960,0.774,772,2850,3622,2176,558,413,1059,1574,9756
Team/G,,241.5,43.1,88.5,0.487,14.2,38.1,0.373,29,50.4,0.574,18.5,23.9,0.774,9.4,34.8,44.2,26.5,6.8,5,12.9,19.2,119
Lg Rank,,10,8,19,7,5,5,11,18,26,3,7,3,19,24,3,9,17,26,15,9,21,4
Year/Year,,-0.10%,1.00%,-2.10%,0.015,-4.40%,-5.60%,0.004,3.80%,0.80%,0.017,11.20%,6.70%,0.031,-15.50%,-7.30%,-9.20%,2.90%,7.10%,2.50%,-11.70%,6.30%,1.70%
Opponent,82,19805,3543,7537,0.47,1032,2897,0.356,2511,4640,0.541,1423,1764,0.807,843,2765,3608,2169,580,347,986,1576,9541
Opponent/G,,241.5,43.2,91.9,0.47,12.6,35.3,0.356,30.6,56.6,0.541,17.4,21.5,0.807,10.3,33.7,44,26.5,7.1,4.2,12,19.2,116.4
Lg Rank,,10,21,27,14,12,14,9,23,27,16,21,13,29,9,22,18,13,10,3,29,9,21
Year/Year,,-0.10%,1.70%,-1.40%,0.014,4.10%,3.50%,0.002,0.80%,-4.20%,0.027,6.70%,2.60%,0.031,-4.10%,0.80%,-0.40%,10.50%,0.30%,7.40%,1.60%,1.20%,2.70%
MIN,82,19805,3383,6974,0.485,1037,2681,0.387,2346,4293,0.546,1461,1881,0.777,770,2807,3577,2184,647,497,1162,1544,9264
Team/G,,241.5,41.3,85,0.485,12.6,32.7,0.387,28.6,52.4,0.546,17.8,22.9,0.777,9.4,34.2,43.6,26.6,7.9,6.1,14.2,18.8,113
Lg Rank,,10,23,29,10,15,23,3,21,23,16,11,8,18,25,5,15,15,6,5,22,18,18
Year/Year,,-0.10%,-3.80%,-2.70%,-0.005,4.00%,-1.80%,0.022,-6.80%,-3.20%,-0.021,-0.40%,-3.10%,0.021,2.80%,4.50%,4.10%,1.80%,-1.50%,11.90%,-7.60%,-12.70%,-2.40%
Opponent,82,19805,3198,7114,0.45,937,2645,0.354,2261,4469,0.506,1402,1794,0.781,843,2555,3398,2008,616,371,1166,1630,8735
Opponent/G,,241.5,39,86.8,0.45,11.4,32.3,0.354,27.6,54.5,0.506,17.1,21.9,0.781,10.3,31.2,41.4,24.5,7.5,4.5,14.2,19.9,106.5
Lg Rank,,10,1,6,1,3,4,7,5,19,1,17,19,14,9,5,4,3,18,5,7,3,1
Year/Year,,-0.10%,-6.70%,-2.20%,-0.022,-7.00%,-3.00%,-0.015,-6.60%,-1.80%,-0.026,-14.20%,-15.90%,0.015,-9.20%,-6.50%,-7.20%,-2.10%,-8.60%,10.40%,-7.60%,-1.50%,-8.00%
NOP,82,19705,3484,7165,0.486,1023,2673,0.383,2461,4492,0.548,1445,1873,0.771,852,2753,3605,2210,684,378,1067,1508,9436
Team/G,,240.3,42.5,87.4,0.486,12.5,32.6,0.383,30,54.8,0.548,17.6,22.8,0.771,10.4,33.6,44,27,8.3,4.6,13,18.4,115.1
Lg Rank,,26,12,23,9,18,24,4,9,12,14,13,9,21,17,10,13,13,3,22,11,11,13
Year/Year,,-0.80%,1.10%,-0.20%,0.006,13.80%,8.30%,0.018,-3.40%,-4.70%,0.007,-8.80%,-6.30%,-0.021,-1.60%,1.30%,0.60%,4.10%,0.40%,12.20%,-10.80%,-10.10%,0.60%
Opponent,82,19705,3317,7155,0.464,1109,3176,0.349,2208,3979,0.555,1331,1699,0.783,826,2644,3470,2196,536,424,1168,1507,9074
Opponent/G,,240.3,40.5,87.3,0.464,13.5,38.7,0.349,26.9,48.5,0.555,16.2,20.7,0.783,10.1,32.2,42.3,26.8,6.5,5.2,14.2,18.4,110.7
Lg Rank,,26,5,10,7,24,29,2,2,2,22,8,7,15,6,9,8,17,3,19,6,18,8
Year/Year,,-0.80%,-1.20%,0.70%,-0.009,10.70%,7.60%,0.01,-6.20%,-4.20%,-0.012,-11.70%,-12.20%,0.005,4.30%,0.40%,1.30%,7.40%,-10.70%,9.80%,-4.90%,-9.90%,-1.60%
NYK,82,19730,3385,7272,0.465,1083,2936,0.369,2302,4336,0.531,1396,1789,0.78,1039,2665,3704,1998,612,336,1085,1447,9249
Team/G,,240.6,41.3,88.7,0.465,13.2,35.8,0.369,28.1,52.9,0.531,17,21.8,0.78,12.7,32.5,45.2,24.4,7.5,4.1,13.2,17.6,112.8
Lg Rank,,23,22,18,20,10,13,14,24,20,22,16,14,16,1,21,5,29,17,29,15,6,19
Year/Year,,-1.10%,-1.70%,-0.80%,-0.004,4.40%,0.20%,0.015,-4.40%,-1.40%,-0.016,-12.10%,-14.30%,0.019,0.80%,-4.50%,-3.10%,6.30%,16.10%,-1.20%,1.90%,-13.10%,-2.80%
Opponent,82,19730,3304,7026,0.47,1028,2813,0.365,2276,4213,0.54,1237,1620,0.764,839,2492,3331,2098,552,431,1082,1565,8873
Opponent/G,,240.6,40.3,85.7,0.47,12.5,34.3,0.365,27.8,51.4,0.54,15.1,19.8,0.764,10.2,30.4,40.6,25.6,6.7,5.3,13.2,19.1,108.2
Lg Rank,,23,4,2,15,10,12,17,6,4,13,4,4,1,8,2,2,8,6,20,21,10,2
Year/Year,,-1.10%,-1.20%,-2.80%,0.008,-3.70%,-6.00%,0.008,0.00%,-0.60%,0.003,-18.60%,-16.60%,-0.019,1.10%,-4.80%,-3.40%,1.70%,11.30%,16.50%,3.60%,-7.60%,-4.30%
OKC,82,19805,3653,7324,0.499,1090,2805,0.389,2563,4519,0.567,1451,1759,0.825,722,2725,3447,2223,694,538,1039,1545,9847
Team/G,,241.5,44.5,89.3,0.499,13.3,34.2,0.389,31.3,55.1,0.567,17.7,21.5,0.825,8.8,33.2,42,27.1,8.5,6.6,12.7,18.8,120.1
Lg Rank,,10,2,15,3,8,16,1,4,10,5,12,17,4,29,12,27,11,1,1,7,19,3
Year/Year,,-0.30%,3.40%,-3.50%,0.033,9.50%,0.30%,0.033,1.00%,-5.70%,0.038,-7.70%,-9.50%,0.016,-22.70%,3.00%,-3.70%,11.00%,2.70%,57.80%,-2.80%,-10.30%,2.20%
Opponent,82,19805,3328,7322,0.455,1101,3052,0.361,2227,4270,0.522,1482,1878,0.789,968,2695,3663,2207,582,419,1287,1548,9239
Opponent/G,,241.5,40.6,89.3,0.455,13.4,37.2,0.361,27.2,52.1,0.522,18.1,22.9,0.789,11.8,32.9,44.7,26.9,7.1,5.1,15.7,18.9,112.7
Lg Rank,,10,8,18,3,23,26,12,3,8,4,23,23,20,29,13,23,18,11,18,1,12,11
Year/Year,,-0.30%,-3.20%,1.00%,-0.019,4.00%,3.30%,0.002,-6.30%,-0.60%,-0.032,-8.00%,-10.10%,0.018,-1.40%,-5.10%,-4.20%,3.80%,1.70%,-7.70%,-6.40%,-7.60%,-3.20%
ORL,82,19780,3318,6964,0.476,903,2568,0.352,2415,4396,0.549,1519,2002,0.759,861,2608,3469,2023,669,423,1206,1618,9058
Team/G,,241.2,40.5,84.9,0.476,11,31.3,0.352,29.5,53.6,0.549,18.5,24.4,0.759,10.5,31.8,42.3,24.7,8.2,5.2,14.7,19.7,110.5
